CumCountryRank,CumCountryConsumption,CumStateRank,CumStateConsumption
0.942857143,0.602308015,,
0.948571429,0.621732902,,
0.954285714,0.6414563,,
0.96,0.662129089,,
0.965714286,0.685343055,,
0.971428571,0.715882258,,
0.977142857,0.751974044,,
0.982857143,0.790368289,,
0.988571429,0.832503613,,
0.994285714,0.882574612,,
1,1,,
