"BMIOver25","Sex","EstimatedCount","PercentageWithinSex"
"NotOverweight","Female",65620727.993616,0.410168409194105
"Overweight","Female",94364113.653616,0.589831590805895
"NotOverweight","Male",59443390.870463,0.382701079481812
"Overweight","Male",95882512.445386,0.617298920518188
