subject,item,iteml,group,groupl,naming,graphotypingl,variability
9,13,lesa,2,type,0,type,low
9,14,nafo,2,type,0,type,low
9,15,tepo,2,type,0,type,low
9,16,lofe,2,type,0,type,low
10,1,tofe,2,type,0,type,low
10,2,leso,2,type,0,type,low
10,3,nopa,2,type,0,type,low
10,4,tafo,2,type,0,type,low
10,5,nesa,2,type,0,type,low
10,6,lape,2,type,0,type,low
10,7,lose,2,type,0,type,low
10,8,nepo,2,type,0,type,low
10,9,tofa,2,type,0,type,low
10,10,laso,2,type,0,type,low
10,11,tefa,2,type,0,type,low
10,12,nape,2,type,0,type,low
10,13,lesa,2,type,0,type,low
10,14,nafo,2,type,0,type,low
10,15,tepo,2,type,0,type,low
10,16,lofe,2,type,0,type,low
11,1,tofe,2,type,0,type,low
11,2,leso,2,type,0,type,low
11,3,nopa,2,type,0,type,low
11,4,tafo,2,type,1,type,low
11,5,nesa,2,type,0,type,low
11,6,lape,2,type,0,type,low
11,7,lose,2,type,1,type,low
11,8,nepo,2,type,0,type,low
11,9,tofa,2,type,0,type,low
11,10,laso,2,type,0,type,low
11,11,tefa,2,type,0,type,low
11,12,nape,2,type,0,type,low
11,13,lesa,2,type,0,type,low
11,14,nafo,2,type,0,type,low
11,15,tepo,2,type,0,type,low
11,16,lofe,2,type,0,type,low
12,1,tofe,2,type,1,type,low
12,2,leso,2,type,1,type,low
12,3,nopa,2,type,1,type,low
12,4,tafo,2,type,1,type,low
12,5,nesa,2,type,0,type,low
12,6,lape,2,type,0,type,low
12,7,lose,2,type,0,type,low
12,8,nepo,2,type,1,type,low
12,9,tofa,2,type,1,type,low
12,10,laso,2,type,1,type,low
12,11,tefa,2,type,1,type,low
12,12,nape,2,type,0,type,low
12,13,lesa,2,type,1,type,low
12,14,nafo,2,type,0,type,low
12,15,tepo,2,type,0,type,low
12,16,lofe,2,type,0,type,low
13,1,tofe,2,type,1,type,low
13,2,leso,2,type,1,type,low
13,3,nopa,2,type,1,type,low
13,4,tafo,2,type,1,type,low
13,5,nesa,2,type,0,type,low
13,6,lape,2,type,1,type,low
13,7,lose,2,type,1,type,low
13,8,nepo,2,type,1,type,low
13,9,tofa,2,type,1,type,low
13,10,laso,2,type,1,type,low
13,11,tefa,2,type,1,type,low
13,12,nape,2,type,0,type,low
13,13,lesa,2,type,1,type,low
13,14,nafo,2,type,0,type,low
13,15,tepo,2,type,0,type,low
13,16,lofe,2,type,0,type,low
14,1,tofe,2,type,1,type,low
14,2,leso,2,type,1,type,low
14,3,nopa,2,type,1,type,low
14,4,tafo,2,type,1,type,low
14,5,nesa,2,type,0,type,low
14,6,lape,2,type,0,type,low
14,7,lose,2,type,0,type,low
14,8,nepo,2,type,1,type,low
14,9,tofa,2,type,1,type,low
14,10,laso,2,type,1,type,low
14,11,tefa,2,type,1,type,low
14,12,nape,2,type,0,type,low
14,13,lesa,2,type,1,type,low
14,14,nafo,2,type,0,type,low
14,15,tepo,2,type,0,type,low
14,16,lofe,2,type,0,type,low
15,1,tofe,3,typevary,1,type,high
15,2,leso,3,typevary,1,type,high
15,3,nopa,3,typevary,1,type,high
15,4,tafo,3,typevary,1,type,high
15,5,nesa,3,typevary,0,type,high
15,6,lape,3,typevary,1,type,high
15,7,lose,3,typevary,1,type,high
15,8,nepo,3,typevary,1,type,high
