FIPS,County,State,Total.Pop.2023,Sex.Ratio.2023,Sex.Ratio.2013,Sex.Ratio.2003,Sex.Ratio.Age.0.19.2023,Sex.Ratio.Age.20.39.2023,Sex.Ratio.Age.40.59.2023,Sex.Ratio.Age.60.79.2023,Sex.Ratio.Age.80plus.2023
29173,Ralls County,Missouri,10489,101.247122,102.1077749,101.1782032,108.3259522,99.23736892,101.7189836,101.6594517,78.38709677
29175,Randolph County*,Missouri,24109,106.5187596,108.9370969,106.6165538,104.5849253,123.0769231,114.3607706,93.15013939,59.93690852
29177,Ray County,Missouri,23182,101.0581093,99.37759336,101.4747251,108.3092486,105.125149,102.4356775,96.70857988,65.01597444
29179,Reynolds County,Missouri,5950,108.1147254,105.5414013,100.245098,112.8378378,111.1111111,113.3333333,103.0534351,85.10638298
29181,Ripley County,Missouri,10806,101.0792706,97.66784452,94.31197932,108.8277858,99.4214876,104.4846577,94.58804523,82.78388278
29183,St. Charles County,Missouri,416659,97.97915004,96.5643463,96.91995562,105.8814064,102.0064825,100.3601329,89.26484907,63.8615369
29185,St. Clair County,Missouri,9752,104.5302013,102.4973319,99.8526936,110.9227872,109.7669256,100.7011394,107.5675676,74.52574526
29186,Ste. Genevieve County,Missouri,18642,107.7797593,102.5157942,101.4664726,108.1935793,122.6750261,106.7405355,104.6819788,70.60998152
29187,St. Francois County*,Missouri,67058,110.7284269,114.7702905,105.4705841,101.3727285,134.8211989,120.5698224,94.23021583,62.57706535
29189,St. Louis County,Missouri,987059,91.73156078,90.01399765,90.30782516,104.9024144,95.66649511,90.76834862,83.23107691,59.48703415
29195,Saline County,Missouri,23049,102.9497226,99.10485934,96.96317963,110.8392796,111.1267606,104.7449585,94.60251046,55.57251908
29197,Schuyler County,Missouri,4053,102.7513757,97.73755656,95.22024367,109.6428571,105.0574713,98.29424307,98.82075472,92.79279279
29199,Scotland County,Missouri,4676,97.63313609,95.79831933,93.16918189,99.59731544,105.988024,97.91666667,98.95833333,57.5
29201,Scott County,Missouri,37889,95.24373905,94.38274665,91.83818647,108.7102882,97.24849527,95.04504505,86.38779755,61.56126482
29203,Shannon County,Missouri,7238,102.8019053,98.04062127,97.74709302,110.7438017,106.171108,103.5151515,101.5592516,64.41441441
29205,Shelby County,Missouri,5931,102.3541453,98.25974863,92.20329194,108.9214381,99.19093851,101.6591252,110.755814,63.03317536
29207,Stoddard County,Missouri,28397,98.74720045,95.19785115,93.30683003,109.1133005,105.6007509,101.3532563,86.59854015,72.13302752
29209,Stone County,Missouri,32658,99.21917892,96.47489605,95.00622583,112.5176305,102.507485,95.7402051,95.57611438,89.00615655
29211,Sullivan County,Missouri,5797,104.3355657,105.0173556,101.2846132,108.7797619,102.3696682,102.0920502,117.5609756,63
29213,Taney County,Missouri,56775,94.35505956,94.52460094,94.18110494,103.0938726,97.48569708,92.98400117,89.58695362,73.93939394
29215,Texas County*,Missouri,25619,113.4383071,107.7906318,103.0156713,108.5958904,139.781465,122.0049769,96.93611473,80.02735978
29217,Vernon County,Missouri,19710,96.88342823,94.90848277,93.47701149,104.3241138,98.15978456,99.78317433,91.75611851,68.15834768
29219,Warren County,Missouri,37806,101.0850487,99.13053979,98.68576491,101.9400733,106.317446,102.060257,98.28139322,77.8708134
29221,Washington County,Missouri,23534,108.0813439,105.3074222,106.8328395,104.4577045,117.9669031,114.6501206,99.10644911,84.15178571
29223,Wayne County,Missouri,10811,102.1503366,99.06928645,99.17469051,114.7482014,101.450677,105.2551409,96.54723127,77.40112994
29225,Webster County,Missouri,41472,103.4636707,103.0378624,102.0341691,103.8095238,109.5773475,105.3162992,98.65389594,75.19379845
29227,Worth County,Missouri,1907,100.3151261,98.75717017,96.78284182,113.2978723,97.07317073,119.7916667,104.9808429,36.79245283
29229,Wright County,Missouri,19403,99.82492276,96.89614435,95.05058196,107.9430498,106.2469734,98.25425246,93.92165691,64.68330134
